epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,234.513,0.332,0.21365,0.45906,0.80603,0.99854,1,0.995,0.96715,0.99854,1,0.995,0.90714,0.31534,0.2097,0.8521,0.73152,0.00073378,0.00073378,0.00073378
33,241.716,0.35634,0.21097,0.48257,0.81372,0.99854,1,0.995,0.96715,0.99854,1,0.995,0.90714,0.31534,0.2097,0.8521,0.73152,0.000718144,0.000718144,0.000718144
34,248.763,0.37946,0.27224,0.47752,0.82974,0.99913,1,0.995,0.95075,0.99913,1,0.995,0.91005,0.3281,0.21563,0.70509,0.73312,0.0006932,0.0006932,0.0006932
35,256.935,0.29408,0.22076,0.50742,0.82018,0.99934,1,0.995,0.94394,0.99934,1,0.995,0.9093,0.35486,0.23005,0.60803,0.72767,0.0006536,0.0006536,0.0006536
36,264.894,0.33101,0.22198,0.45985,0.8019,0.99943,1,0.995,0.96189,0.99943,1,0.995,0.90362,0.32557,0.21835,0.55643,0.72117,0.000614,0.000614,0.000614
37,272.276,0.31443,0.21172,0.45334,0.80888,0.99943,1,0.995,0.96189,0.99943,1,0.995,0.90362,0.32557,0.21835,0.55643,0.72117,0.0005744,0.0005744,0.0005744
38,279.066,0.30794,0.19794,0.43952,0.78947,0.99947,1,0.995,0.9824,0.99947,1,0.995,0.90777,0.27304,0.20192,0.52314,0.71541,0.0005348,0.0005348,0.0005348
39,285.918,0.34094,0.2719,0.45312,0.81354,0.99948,1,0.995,0.9909,0.99948,1,0.995,0.87842,0.219,0.18739,0.50052,0.71162,0.0004952,0.0004952,0.0004952
40,292.987,0.3462,0.1599,0.45871,0.82395,0.99948,1,0.995,0.99036,0.99948,1,0.995,0.85323,0.20443,0.17498,0.50341,0.71281,0.0004556,0.0004556,0.0004556
41,300.747,0.27671,0.22404,0.54797,0.75259,0.99948,1,0.995,0.99036,0.99948,1,0.995,0.85323,0.20443,0.17498,0.50341,0.71281,0.000416,0.000416,0.000416
42,309.469,0.27037,0.17895,0.5056,0.7552,0.99942,1,0.995,0.9847,0.99942,1,0.995,0.8698,0.21503,0.1717,0.53723,0.71534,0.0003764,0.0003764,0.0003764
43,316.113,0.25177,0.14593,0.47668,0.77709,0.99937,1,0.995,0.97897,0.99937,1,0.995,0.89252,0.23225,0.17094,0.59643,0.71742,0.0003368,0.0003368,0.0003368
44,322.892,0.25387,0.23855,0.47076,0.77907,0.99935,1,0.995,0.98031,0.99935,1,0.995,0.89767,0.24535,0.16735,0.62964,0.71954,0.0002972,0.0002972,0.0002972
45,329.73,0.23361,0.14449,0.47673,0.79065,0.99935,1,0.995,0.98031,0.99935,1,0.995,0.89767,0.24535,0.16735,0.62964,0.71954,0.0002576,0.0002576,0.0002576
46,336.271,0.21871,0.15917,0.46995,0.75641,0.99939,1,0.995,0.95805,0.99939,1,0.995,0.87936,0.25413,0.16292,0.61407,0.71951,0.000218,0.000218,0.000218
47,343.479,0.21202,0.14476,0.46323,0.76721,0.99944,1,0.995,0.95445,0.99944,1,0.995,0.86397,0.25393,0.16043,0.57624,0.71901,0.0001784,0.0001784,0.0001784
48,350.392,0.22229,0.20184,0.48342,0.7668,0.9995,1,0.995,0.96944,0.9995,1,0.995,0.858,0.24689,0.15943,0.53277,0.71803,0.0001388,0.0001388,0.0001388
49,357.715,0.21612,0.16858,0.45237,0.76547,0.9995,1,0.995,0.96944,0.9995,1,0.995,0.858,0.24689,0.15943,0.53277,0.71803,9.92e-05,9.92e-05,9.92e-05
50,364.284,0.22387,0.16298,0.43695,0.77236,0.99954,1,0.995,0.97477,0.99954,1,0.995,0.85636,0.24469,0.15781,0.50164,0.71769,5.96e-05,5.96e-05,5.96e-05
